low_price,high_price,open_price,close_price,volume
3260.49,3265.12,3262.24,3264.14,4.85234453
3263.38,3264.05,3264.05,3263.39,1.7141342
3263.38,3263.39,3263.39,3263.39,0.77400128
3260.0,3263.39,3263.39,3262.85,5.25520813
3261.4,3262.44,3262.43,3262.35,0.71255282
3261.16,3262.42,3262.35,3261.21,0.7236017
3260.0,3261.41,3261.21,3260.01,0.55635651
3260.01,3260.01,3260.01,3260.01,0.3668837
3260.0,3260.01,3260.01,3260.01,1.0128608
3260.01,3260.01,3260.01,3260.01,2.2871879
3260.0,3260.01,3260.01,3260.0,1.06201161
3260.0,3260.01,3260.01,3260.01,0.45028556
3257.0,3267.0,3260.01,3267.0,7.91691727
3256.0,3267.0,3267.0,3259.11,7.3499782
3257.21,3259.0,3259.0,3257.32,0.84885342
3257.32,3264.37,3257.32,3258.01,6.2567307
3256.0,3259.19,3257.93,3256.01,7.17882472
3256.01,3256.01,3256.01,3256.01,0.6105616
3251.62,3256.01,3256.0,3253.15,6.27440419
3253.14,3253.15,3253.15,3253.15,1.59249561
3253.14,3255.0,3253.15,3255.0,1.99010621
3255.4,3259.68,3255.4,3259.66,0.86042303
3259.66,3260.0,3259.67,3260.0,2.70127092
3260.0,3263.14,3260.0,3263.13,1.02984499
3263.13,3263.14,3263.14,3263.14,1.64124806
3252.46,3263.14,3263.14,3255.01,7.14623708
3250.8,3255.01,3255.01,3251.33,5.81247382
3251.32,3252.11,3251.33,3252.11,2.74942634
3252.1,3253.69,3252.11,3253.39,1.2261126
3253.38,3257.64,3253.38,3257.64,4.97696604
3253.87,3262.34,3257.64,3256.98,7.39360043
3256.97,3259.99,3256.98,3259.99,2.30742388
3259.98,3259.99,3259.98,3259.99,0.76668368
3253.31,3259.99,3259.99,3253.32,12.44661313
3253.32,3257.33,3253.33,3257.0,4.68933645
3256.82,3257.0,3257.0,3256.82,0.66209125
3256.81,3256.83,3256.83,3256.82,0.81169034
3256.81,3256.82,3256.82,3256.82,2.76616395
3256.81,3256.82,3256.82,3256.81,2.36364518
3256.82,3261.22,3256.82,3259.17,2.44975702
3256.83,3260.12,3257.44,3260.12,1.57974769
3259.66,3262.0,3259.96,3259.66,0.64597886
3259.66,3270.0,3261.98,3270.0,35.34199306
3245.11,3270.0,3270.0,3262.33,63.48421471
3210.63,3256.07,3256.06,3240.13,75.4040206
3240.01,3255.44,3243.03,3251.45,1.98866235
3245.12,3251.46,3251.46,3249.94,1.57422088
3247.43,3249.61,3248.05,3249.61,1.17101569
3249.6,3249.77,3249.61,3249.77,1.19790743
3249.76,3249.77,3249.76,3249.77,7.25033849
3249.76,3249.77,3249.77,3249.77,0.20869014
3245.12,3249.77,3249.77,3245.12,1.84913075
3234.94,3250.13,3249.09,3249.23,7.69829603
3246.03,3248.42,3248.42,3247.98,1.20703543
3230.87,3248.83,3248.83,3236.26,10.4474773
3232.96,3238.47,3235.89,3237.91,0.74897496
3215.8,3237.91,3237.9,3226.41,10.6409333
3226.12,3228.59,3226.12,3228.58,1.07216446
3223.47,3228.61,3228.58,3223.47,2.21423245
3221.73,3226.16,3221.84,3221.74,5.0046317
3221.0,3221.74,3221.74,3221.02,9.22818657
3221.01,3223.56,3221.01,3223.56,1.97335799
3224.56,3224.57,3224.57,3224.57,2.27110626
3224.56,3230.0,3224.57,3230.0,1.215568
3229.99,3230.0,3230.0,3230.0,0.7931356
3230.0,3233.16,3230.0,3233.11,0.6360295
3233.1,3233.11,3233.11,3233.11,1.94736429
3233.09,3233.11,3233.11,3233.09,5.50518546
3233.09,3233.11,3233.1,3233.11,2.14835838
3224.56,3233.11,3233.1,3228.03,6.64627176
3228.04,3228.05,3228.04,3228.04,1.7764946
3228.05,3239.23,3228.05,3234.01,4.16801923
3234.01,3234.02,3234.01,3234.02,1.0131183
3234.01,3234.02,3234.02,3234.01,0.42130082
3234.02,3239.22,3234.02,3235.76,0.73830001
3235.75,3238.96,3235.75,3238.51,1.0943421
3238.52,3245.27,3238.52,3244.53,2.19778832
3238.52,3245.27,3238.52,3244.53,2.19778832
3234.01,3244.53,3244.53,3236.3,5.62971774
3236.29,3242.51,3236.3,3240.99,3.50766318
3240.03,3242.31,3240.38,3240.85,0.76675308
3239.0,3240.85,3240.85,3239.46,2.30152621
3239.45,3239.46,3239.46,3239.45,0.70013262
3239.46,3243.5,3239.46,3243.5,3.9134774
3240.22,3245.59,3242.8,3245.59,1.67204156
3245.71,3247.46,3245.71,3247.46,1.99751862
3239.45,3247.46,3247.46,3239.46,2.42974307
3239.46,3244.64,3239.46,3241.43,4.26082111
3236.41,3241.43,3241.43,3236.41,4.69617466
3236.4,3236.41,3236.41,3236.41,0.38497328
3236.4,3236.41,3236.41,3236.41,1.01004877
3236.4,3236.41,3236.41,3236.41,1.35337938
3236.4,3240.45,3236.41,3240.44,1.39376961
3236.41,3240.44,3240.44,3236.41,1.67387505
3236.4,3236.41,3236.41,3236.41,0.97782673
3234.01,3236.41,3236.4,3234.01,2.34440571
3228.35,3232.2,3232.2,3228.35,2.58449621
3228.36,3234.15,3230.68,3234.15,0.45304108
3233.65,3234.15,3234.15,3233.65,1.7220868
3225.1,3233.65,3233.65,3225.1,8.20093201
3208.5,3225.1,3225.1,3221.0,38.46259117
3214.6,3220.99,3220.99,3217.03,5.0203873
3212.99,3217.09,3214.89,3214.11,5.96454003
3214.1,3219.4,3214.1,3218.9,1.05635603
3218.0,3219.99,3218.89,3219.9,4.25693321
3219.61,3221.0,3219.99,3221.0,1.89551858
3220.99,3229.75,3220.99,3229.01,3.68534059
3229.0,3229.01,3229.01,3229.0,2.80864139
3228.0,3229.34,3229.0,3228.01,2.583471
3228.01,3229.06,3228.01,3229.06,2.45407471
3228.99,3229.98,3229.05,3229.16,3.60890774
3229.15,3229.16,3229.16,3229.16,0.53797615
3228.52,3229.16,3229.16,3229.16,2.29017049
3229.16,3241.21,3229.16,3238.5,4.05931583
3238.49,3238.5,3238.5,3238.5,0.40300086
3238.49,3238.5,3238.49,3238.5,1.84740129
3238.49,3244.99,3238.49,3244.99,0.61135885
3244.98,3260.0,3244.99,3259.07,6.66626084
3259.0,3259.07,3259.07,3259.0,5.11138638
3259.0,3259.1,3259.01,3259.1,3.37244171
3259.1,3280.87,3259.1,3279.87,46.36375902
3260.66,3279.88,3279.87,3267.55,17.0628419
3263.8,3267.55,3267.54,3267.54,7.37172518
3267.55,3277.53,3267.55,3275.78,5.62335406
3275.77,3275.78,3275.78,3275.78,13.32686333
3275.77,3275.78,3275.78,3275.78,1.85314918
3275.77,3275.78,3275.78,3275.78,5.96273983
3270.78,3275.78,3275.78,3270.78,3.86113036
3267.98,3274.02,3270.78,3273.99,2.27616368
3273.99,3277.66,3274.0,3277.66,4.96187239
3272.39,3284.4,3277.89,3272.95,8.48335489
3273.2,3280.91,3273.2,3275.33,2.21577776
3275.33,3279.94,3275.33,3276.72,3.16581946
3269.0,3276.72,3276.72,3271.42,4.33548925
3265.2,3270.0,3269.99,3270.0,1.61894911
3269.99,3270.0,3270.0,3270.0,5.89812149
3269.99,3270.0,3270.0,3270.0,1.11145565
3269.99,3272.9,3269.99,3271.21,1.66594348
3265.37,3271.21,3271.21,3265.39,7.14812377
3263.69,3265.02,3265.02,3263.7,6.83408907
3263.69,3263.7,3263.7,3263.7,2.36067007
3263.69,3263.7,3263.7,3263.69,0.81449624
3262.75,3263.7,3263.7,3263.47,2.31609047
3262.45,3263.48,3263.47,3262.46,2.52704152
3259.0,3262.46,3262.46,3259.77,1.29500824
3259.76,3259.77,3259.77,3259.77,2.56306559
3258.51,3259.77,3259.77,3258.52,4.76707358
3258.51,3258.52,3258.51,3258.52,0.48548077
3258.51,3258.52,3258.52,3258.52,9.38119556
3258.51,3258.52,3258.52,3258.52,0.37566676
3258.51,3258.52,3258.51,3258.52,2.98491223
3258.51,3258.52,3258.51,3258.52,4.85395304
3258.51,3258.52,3258.52,3258.52,1.37085767
3258.51,3258.52,3258.52,3258.52,2.42160106
3258.51,3268.82,3258.51,3268.82,5.70977173
3267.18,3279.56,3267.19,3279.55,3.01860573
3279.54,3334.89,3279.55,3334.89,40.69163028
3329.28,3350.01,3329.28,3350.0,24.35848337
3328.07,3350.73,3350.01,3350.7,22.31463171
3346.64,3350.73,3350.71,3346.65,2.34063274
3331.85,3346.65,3346.65,3338.3,3.03515079
3334.99,3338.31,3338.19,3335.0,5.21398033
3334.99,3340.68,3335.0,3340.68,1.63749402
3337.21,3341.71,3341.71,3340.0,4.58433821
3340.49,3347.23,3340.5,3347.23,3.93584206
3341.92,3356.0,3348.39,3341.93,4.50824733
3341.93,3356.0,3341.93,3353.15,12.70512849
3353.15,3353.16,3353.16,3353.15,1.43995505
3347.0,3353.16,3353.15,3347.01,2.22049642
3341.9,3347.0,3347.0,3341.91,0.97048341
3335.0,3341.91,3341.91,3335.01,1.59428149
3335.0,3335.01,3335.0,3335.01,2.54968941
3331.7,3335.01,3335.01,3331.71,1.0889921
3331.0,3334.94,3331.71,3334.94,1.91774391
3331.01,3334.9,3331.01,3333.51,1.04948046
3334.0,3335.01,3334.0,3335.01,1.174751
3335.01,3337.99,3335.01,3337.98,1.4194469
3337.57,3337.99,3337.99,3337.57,0.90754453
3337.94,3337.95,3337.94,3337.95,0.87654383
3335.79,3337.95,3337.95,3335.79,1.51301039
3329.59,3329.99,3329.99,3329.6,0.76501478
3329.6,3329.61,3329.61,3329.6,0.62278147
3329.6,3332.78,3329.6,3332.26,0.35278916
3332.25,3332.26,3332.25,3332.26,0.91332157
3332.25,3333.0,3332.26,3332.99,0.91916031
3332.25,3333.0,3333.0,3332.25,1.86105606
3332.2,3332.21,3332.21,3332.21,0.91493823
3332.2,3332.21,3332.21,3332.2,0.12579526
3329.59,3332.21,3332.21,3329.59,0.05441615
3329.59,3329.6,3329.6,3329.6,0.05217836
3325.0,3329.6,3329.6,3325.0,1.93792619
3325.01,3325.9,3325.01,3325.9,0.2100523
3325.91,3325.91,3325.91,3325.91,0.04580155
3325.91,3331.01,3325.91,3331.01,0.98835706
3332.2,3332.21,3332.2,3332.21,0.04068473
3332.2,3332.21,3332.2,3332.21,0.89738198
3332.2,3332.21,3332.2,3332.21,1.41907921
3332.2,3332.21,3332.21,3332.21,0.44721022
3332.21,3333.0,3332.21,3332.99,0.39064882
3332.98,3332.99,3332.98,3332.99,0.0965922
3332.95,3333.0,3332.99,3333.0,1.32648386
3333.0,3340.0,3333.0,3340.0,5.05995795
3339.95,3339.99,3339.99,3339.95,0.31361792
3334.96,3339.96,3339.96,3334.96,0.18786411
3334.97,3335.84,3334.97,3335.84,0.86663093
3335.84,3337.79,3335.84,3337.42,1.0119082
3337.42,3337.42,3337.42,3337.42,0.06453148
3337.41,3337.41,3337.41,3337.41,0.02743212
3337.41,3337.41,3337.41,3337.41,0.35325485
3337.4,3337.41,3337.41,3337.4,0.17618488
3337.4,3337.41,3337.41,3337.41,0.31739446
3337.41,3337.41,3337.41,3337.41,0.15768774
3332.2,3337.4,3337.4,3333.0,1.21742085
3333.0,3336.43,3333.0,3336.43,0.05874644
3335.5,3336.43,3336.43,3335.5,1.07525107
3332.2,3332.21,3332.2,3332.21,0.22550635
3332.2,3332.21,3332.21,3332.21,0.13126251
3332.21,3333.98,3332.21,3333.98,0.14405437
3332.25,3332.26,3332.25,3332.26,0.01213238
3332.2,3332.26,3332.25,3332.2,0.53676293
3332.2,3332.2,3332.2,3332.2,0.08275
3332.2,3332.21,3332.21,3332.2,0.11622762
3332.21,3332.21,3332.21,3332.21,0.02635216
3332.2,3332.21,3332.2,3332.2,0.43917272
3332.2,3332.21,3332.2,3332.21,1.06232444
3330.73,3332.2,3332.2,3331.54,0.87552677
3329.33,3330.13,3329.34,3330.12,0.67984286
3330.13,3330.13,3330.13,3330.13,0.06303669
3330.12,3330.13,3330.13,3330.13,0.03573606
3328.47,3330.13,3330.13,3330.01,2.69145382
3329.52,3330.13,3329.52,3330.13,0.10544731
3329.86,3329.87,3329.87,3329.86,0.40147549
3328.37,3341.91,3329.87,3330.63,29.52137566
3330.63,3330.64,3330.64,3330.64,0.17542498
3330.63,3332.31,3330.64,3332.01,1.31826407
3332.0,3332.01,3332.01,3332.01,0.03103692
3332.0,3332.01,3332.0,3332.01,0.13367878
3332.0,3332.01,3332.0,3332.0,0.2418723
3328.43,3332.01,3332.01,3328.44,1.68969013
